scenario,sim,comparison,ddR2,lo,hi,perm_p,holm_p,seed_pos_frac,verdict,ref_ddR2,ci_covers_ref
no_cgm,117,global_vs_premeal,-0.0029213241412772337,-0.0073955044746793555,0.0006751408230572522,0.1745825417458254,0.5237476252374762,0.0,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,117,global_vs_subz,6.16570616625093e-05,-0.004985356449749104,0.004687538385981804,0.9819018098190181,0.9819018098190181,0.5,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,117,global_vs_subcenter,-0.0022678113991526994,-0.006797461634294339,0.0014434807588040736,0.3033696630336966,0.6067393260673932,0.25,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,118,global_vs_premeal,-0.0018576067198778977,-0.003973923630176018,0.00017329552709948,0.07749225077492251,0.23247675232476755,0.0,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,118,global_vs_subz,5.4790140724644904e-05,-0.007085565013949484,0.007765920544638053,0.9872012798720128,1.0,0.5,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,118,global_vs_subcenter,-0.0014350776424980477,-0.00866692413578797,0.006872305047049335,0.7235276472352765,1.0,0.25,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,119,global_vs_premeal,-0.0027900319421142873,-0.003995736144257367,-0.0017834207192929008,9.999000099990002e-05,0.00029997000299970003,0.0,NEGLIGIBLE,-1.2279994176884975e-05,False
no_cgm,119,global_vs_subz,0.0021416705510118404,-0.002113484251066598,0.00650169379842839,0.33656634336566343,0.6731326867313269,1.0,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,119,global_vs_subcenter,-0.0007129486019434883,-0.002798678236440276,0.001461664656106745,0.51004899510049,0.6731326867313269,0.25,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,120,global_vs_premeal,-0.001367008283308083,-0.0032974372316143903,-6.439714014368145e-05,0.05779422057794221,0.17338266173382663,0.0,NEGLIGIBLE,-1.2279994176884975e-05,False
no_cgm,120,global_vs_subz,0.0019938187747399775,-0.002721572562231545,0.006592519359766388,0.40855914408559146,0.8171182881711829,0.75,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,120,global_vs_subcenter,-0.00027484777677446815,-0.0013946542667968018,0.0005600318877063135,0.748025197480252,0.8171182881711829,0.25,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,121,global_vs_premeal,-0.0016990940624424808,-0.005792738699997473,0.001521988218048853,0.43055694430556946,1.0,0.25,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,121,global_vs_subz,-0.0024270565269627706,-0.008882485484771378,0.004703405040893099,0.49235076492350766,1.0,0.25,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,121,global_vs_subcenter,-0.0010024046733630824,-0.004408014802670406,0.0026288982889247064,0.5843415658434157,1.0,0.25,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,122,global_vs_premeal,-0.0032516052446132267,-0.00884283035233762,0.0011252739156246932,0.24347565243475652,0.7304269573042695,0.0,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,122,global_vs_subz,-0.0009132257640931807,-0.007933486260377418,0.006220841167220953,0.8023197680231977,1.0,0.5,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,122,global_vs_subcenter,-0.001528001393937394,-0.005884618031732124,0.0016721082461558982,0.567043295670433,1.0,0.25,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,123,global_vs_premeal,-0.0019339855298389566,-0.003607710288199659,-0.00038734751676212676,0.0206979302069793,0.06209379062093791,0.0,NEGLIGIBLE,-1.2279994176884975e-05,False
no_cgm,123,global_vs_subz,0.0015011803296522297,-0.00343850227012629,0.006791677838143679,0.5857414258574143,0.9515048495150485,1.0,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,123,global_vs_subcenter,0.0012619450850599242,-0.0018057100915657627,0.0047345939521095315,0.4757524247575243,0.9515048495150485,1.0,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,124,global_vs_premeal,-0.00084840968393952,-0.002946422110351161,0.0009820965046577138,0.44185581441855815,0.7135286471352865,0.25,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,124,global_vs_subz,0.0032591782902512997,-0.0018569178422735292,0.008316232113518625,0.21287871212878712,0.6386361363863613,0.75,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,124,global_vs_subcenter,0.0009498472327304004,-0.0010313471461335824,0.002824950708337142,0.35676432356764326,0.7135286471352865,1.0,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,125,global_vs_premeal,-0.0016773753880274583,-0.00348168694451614,8.524865466491522e-05,0.06729327067293271,0.20187981201879812,0.0,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,125,global_vs_subz,-0.0025930970732655893,-0.006793699408798585,0.001617722919319756,0.22857714228577142,0.45715428457154283,0.25,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,125,global_vs_subcenter,-0.0008855172908610501,-0.0031143689577934797,0.001105891880456015,0.42855714428557146,0.45715428457154283,0.5,NEGLIGIBLE,-1.4910008964005766e-06,True
